seed,winner,chain_bic,triangle_bic,delta_bic_triangle_minus_chain,chain_heldout_rmse,triangle_heldout_rmse,surface_star_heldout_rmse,deep_star_heldout_rmse,triangle_shortcut_conductance,optimizer_all_converged,optimizer_min_accepted_starts,optimizer_max_optimality,optimizer_max_scaled_optimality,triangle_shortcut_at_lower_bound
20260849,chain,-4331.329394391674,-4325.382544531173,5.946849860501061,0.0003030293791405644,0.00030798443422214427,0.0069296986065006125,0.025200346036535235,0.0003354626279084625,True,10,0.09711645591433754,2.1826098697067328e-05,True
20260850,chain,-4317.386670505934,-4311.504619131305,5.882051374628645,0.0002688547973410075,0.00027398107071957854,0.006905670217917788,0.02521092259826809,0.00033546262815487037,True,10,0.1004231872803287,2.1685375029412974e-05,True
20260851,chain,-4355.338991406481,-4349.477063009583,5.861928396898293,0.0003136135873512125,0.0003126459776122121,0.00686672843765561,0.0253151250466054,0.0005796929024037838,True,10,0.09842718355228941,3.917468717568884e-05,False
20260852,chain,-4356.928485973598,-4355.894254432007,1.034231541590998,0.0003548871092238488,0.0005483512398038792,0.006875701025190474,0.025325062569907263,0.007512479087462402,True,9,0.204471233205451,1.7650216427792848e-05,False
20260853,chain,-4318.829790995348,-4312.992878913503,5.836912081845185,0.0002346808777900677,0.00022309862542283236,0.006766650037060822,0.02520663009333953,0.0008500022802535428,True,10,0.1183793776613006,1.9992167298778937e-05,False
20260854,chain,-4350.244048357283,-4344.205431874167,6.0386164831161295,0.00018335863762906156,0.00018565999566802228,0.00686619706184466,0.025147791472660778,0.00033546262790391785,True,10,0.09583410100211197,2.5090559577170843e-05,True
20260855,chain,-4294.07823723226,-4288.11350440403,5.964732828229899,6.723864803610948e-05,6.546334372274937e-05,0.0068449070711053585,0.025189589547653633,0.0003354626279025139,True,10,0.10405801271737096,2.0164914047390608e-05,True
20260856,chain,-4326.17022168695,-4320.2463309496,5.923890737350121,0.00032818916255698935,0.00032283336908235183,0.0067577347004796106,0.02519840965915539,0.00033546262790775516,True,10,0.12248159116408833,2.00892026591966e-05,True
20260857,chain,-4325.497608483004,-4319.400263893742,6.09734458926232,0.00039931449585630887,0.00040320635794104955,0.00694812657260242,0.02513719670404027,0.0003354626279030818,True,9,0.11246735747258677,2.7201662380772552e-05,True
20260858,chain,-4321.918146449418,-4315.940802656371,5.977343793047112,0.0003432491721460373,0.0003462475895552242,0.006924665986357736,0.02529215963827078,0.0003354626279025288,True,10,0.11122306065225082,2.4972026227809046e-05,True
20260859,chain,-4301.639472476381,-4295.719430472257,5.920042004124298,0.00018060067427023136,0.00017684538027091707,0.006825480122390135,0.02524477698792099,0.00033546262790252465,True,10,0.09547515156372512,1.863878023314555e-05,True
20260860,chain,-4306.836565650465,-4302.266348691923,4.570216958542005,0.00011767640738055978,0.00017635956217630975,0.006779820168444946,0.0252343697600007,0.004310708554484525,True,9,0.09681160002016995,2.2259323243018203e-05,False
20260861,chain,-4263.092634254684,-4257.273855167564,5.818779087119765,0.0003163821190337034,0.0003330695209245112,0.006916576765196895,0.02525845898746823,0.0010367392614944796,True,10,0.09353230771770252,2.2846626213898764e-05,False
20260862,chain,-4303.182129214835,-4297.493030436131,5.6890987787037375,0.0002551263826661747,0.00023459661348220316,0.006786682672036112,0.025230615633083254,0.001710925144248309,True,9,0.10442784754458663,1.7121393826689644e-05,False
20260863,chain,-4289.675343119253,-4283.663641470956,6.011701648297276,0.00018777380625647458,0.0001930023570026563,0.006921692317736934,0.025218191011408483,0.0003354626279042659,True,10,0.10011476078013681,2.255734222796935e-05,True
20260864,chain,-4328.52450820556,-4322.7971347291295,5.72737347643033,0.00012863822221319192,0.0001407517674979909,0.006801361974775724,0.025177825221471346,0.0014522776295960347,True,10,0.0997038909855254,2.2411721819668076e-05,False
